data;horario;n_da_ocorrencia;tipo_de_ocorrencia;km;trecho;sentido;tipo_de_acidente;automovel;bicicleta;caminhao;moto;onibus;outros;tracao_animal;transporte_de_cargas_especiais;trator_maquinas;utilitarios;ilesos;levemente_feridos;moderadamente_feridos;gravemente_feridos;mortos
"21/04/2023";"14:09:00";"174";"ac02 - Aci";"626";"BR-365/MG";"Oeste";"Choque - Defensa metálica";1;0;0;0;0;1;0;0;0;0;2;1;0;0;0
"23/04/2023";"03:23:00";"26";"ac02 - Aci";"683,8";"BR-365/MG";"Leste";"Colisão Traseira";1;0;1;0;0;0;0;0;0;0;2;1;0;0;0
"23/04/2023";"16:18:00";"222";"ac02 - Aci";"704,35";"BR-365/MG";"Oeste";"Engavetamento";2;0;0;0;0;0;0;0;0;2;11;1;0;2;0
"23/04/2023";"18:48:00";"275";"ac03 - Aci";"680";"BR-365/MG";"Leste";"Capotamento";1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
"24/04/2023";"09:55:00";"89";"ac02 - Aci";"749,35";"BR-365/MG";"Oeste";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"24/04/2023";"19:23:00";"248";"ac03 - Aci";"654,6";"BR-365/MG";"Leste";"Atropelamento de Animal";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"25/04/2023";"16:14:00";"205";"ac02 - Aci";"756,3";"BR-365/MG";"Leste";"Tombamento";0;0;1;0;0;0;0;0;0;0;0;0;2;0;0
"25/04/2023";"21:15:00";"293";"ac03 - Aci";"858,72";"BR-365/MG";"Oeste";"Atropelamento de Animal";1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"26/04/2023";"17:55:00";"316";"ac03 - Aci";"765,98";"BR-365/MG";"Leste";"Colisão Traseira";2;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"26/04/2023";"18:03:00";"320";"ac04 - Aci";"765,98";"BR-365/MG";"Leste";"Choque na praça – cabine";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"27/04/2023";"13:45:00";"198";"ac02 - Aci";"98,1";"BR-364/GO";"Leste";"Colisão lateral no sentido contrário";1;0;1;0;0;0;0;0;0;0;1;0;1;0;0
"27/04/2023";"18:52:00";"293";"ac03 - Aci";"691,7";"BR-365/MG";"Leste";"Atropelamento de Animal";0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"27/04/2023";"18:57:00";"296";"ac03 - Aci";"691,7";"BR-365/MG";"Leste";"Atropelamento de Animal";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0
"28/04/2023";"00:02:00";"2";"ac03 - Aci";"800,3";"BR-365/MG";"Oeste";"Choque - Talude ou Barranco";0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
"28/04/2023";"21:47:00";"328";"ac03 - Aci";"685";"BR-365/MG";"Oeste";"Colisão Traseira";0;0;1;1;0;0;0;0;0;0;2;0;0;0;0
"29/04/2023";"12:20:00";"166";"ac02 - Aci";"756,05";"BR-365/MG";"Leste";"Colisão Transversal";1;1;0;0;0;0;0;0;0;0;4;0;0;1;0
"29/04/2023";"15:13:00";"210";"ac03 - Aci";"751,2";"BR-365/MG";"Leste";"Choque - Meio fio";0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
"29/04/2023";"19:13:00";"282";"ac03 - Aci";"758,7";"BR-365/MG";"Leste";"Choque - Objeto sobre a pista";1;0;0;0;0;0;0;0;0;0;4;0;0;0;0
"30/04/2023";"20:52:00";"290";"ac03 - Aci";"669,1";"BR-365/MG";"Oeste";"Atropelamento de Animal";0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
